"product_type","product_code","product_name","model_code","marketplace","external_code","external_url","listing_title","is_active"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","58HM","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","6Z2X","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","BXT2","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","CPM8","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","CS4W","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","EAKD","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","EWX9","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","GEC6","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","KZFS","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","L53Z","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","LUXE","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","MWCB","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","NK5M","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","TPRT","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","U6R5","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","VMVQ","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10001","Seat Cover SNAP Black Black Ct 1","XNZP","shoptet","","","Seat Cover SNAP Black Black Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","58HM","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","6Z2X","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","BXT2","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","CPM8","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","CS4W","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","EAKD","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","EWX9","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","GEC6","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","KZFS","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","L53Z","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","LUXE","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","MWCB","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
"seatcover","S_CT10002","Seat Cover SNAP Black Blue Ct 1","NK5M","shoptet","","","Seat Cover SNAP Black Blue Ct 1","1"
